[2026-07-18 20:57:16,417] 162 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-07-18 20:57:18,026] 29 root - INFO - Enter the data ingestion method or component
[2026-07-18 20:57:18,029] 32 root - INFO - Read the dataset as dataframe
[2026-07-18 20:57:18,033] 38 root - INFO - Train test split initiated
[2026-07-18 20:57:18,039] 43 root - INFO - ingestion of the data is completed
[2026-07-18 20:57:18,065] 79 root - INFO - Read train and test data completed
[2026-07-18 20:57:18,065] 80 root - INFO - Obtaining preprocessing object
[2026-07-18 20:57:18,065] 59 root - INFO - Numerical columns standard scaling completed
[2026-07-18 20:57:18,071] 60 root - INFO - Categorical columns encoding completed
[2026-07-18 20:57:18,072] 96 root - INFO - Applying preprocessing object on training and testing dataframes
[2026-07-18 20:57:18,081] 118 root - INFO - Saved preprocessing object
[2026-07-18 20:57:18,083] 33 root - INFO - Splitting training and testing input data
