[2026-07-18 00:49:08,562] 162 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-07-18 00:49:10,206] 29 root - INFO - Enter the data ingestion method or component
[2026-07-18 00:49:10,210] 32 root - INFO - Read the dataset as dataframe
[2026-07-18 00:49:10,214] 38 root - INFO - Train test split initiated
[2026-07-18 00:49:10,219] 43 root - INFO - ingestion of the data is completed
[2026-07-18 00:49:10,246] 79 root - INFO - Read train and test data completed
[2026-07-18 00:49:10,247] 80 root - INFO - Obtaining preprocessing object
[2026-07-18 00:49:10,247] 59 root - INFO - Numerical columns standard scaling completed
[2026-07-18 00:49:10,247] 60 root - INFO - Categorical columns encoding completed
[2026-07-18 00:49:10,248] 96 root - INFO - Applying preprocessing object on training and testing dataframes
[2026-07-18 00:49:10,260] 118 root - INFO - Saved preprocessing object
[2026-07-18 00:49:10,262] 113 root - INFO - Splitting training and testing input data
[2026-07-18 00:49:11,948] 151 root - INFO - Best model found: Linear Regression
[2026-07-18 00:49:12,024] 167 root - INFO - R2 Score: 0.8795158595242263
