[2026-07-18 20:52:50,202] 162 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-07-18 20:53:05,869] 29 root - INFO - Enter the data ingestion method or component
[2026-07-18 20:53:05,901] 32 root - INFO - Read the dataset as dataframe
[2026-07-18 20:53:05,910] 38 root - INFO - Train test split initiated
[2026-07-18 20:53:05,927] 43 root - INFO - ingestion of the data is completed
[2026-07-18 20:53:05,962] 79 root - INFO - Read train and test data completed
[2026-07-18 20:53:05,963] 80 root - INFO - Obtaining preprocessing object
[2026-07-18 20:53:05,963] 59 root - INFO - Numerical columns standard scaling completed
[2026-07-18 20:53:05,965] 60 root - INFO - Categorical columns encoding completed
[2026-07-18 20:53:05,969] 96 root - INFO - Applying preprocessing object on training and testing dataframes
[2026-07-18 20:53:05,997] 118 root - INFO - Saved preprocessing object
[2026-07-18 20:53:06,001] 33 root - INFO - Splitting training and testing input data
