[2026-07-17 23:32:03,991] 162 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-07-17 23:32:05,113] 25 root - INFO - Enter the data ingestion method or component
[2026-07-17 23:32:05,117] 28 root - INFO - Read the dataset as dataframe
[2026-07-17 23:32:05,119] 34 root - INFO - Train test split initiated
[2026-07-17 23:32:05,124] 39 root - INFO - ingestion of the data is completed
[2026-07-17 23:32:05,154] 205 root - INFO - Read train and test data completed
[2026-07-17 23:32:05,154] 206 root - INFO - Obtaining preprocessing object
[2026-07-17 23:32:05,154] 185 root - INFO - Numerical columns standard scaling completed
[2026-07-17 23:32:05,155] 186 root - INFO - Categorical columns encoding completed
[2026-07-17 23:32:05,156] 222 root - INFO - Applying preprocessing object on training and testing dataframes
[2026-07-17 23:32:05,176] 244 root - INFO - Saved preprocessing object
